CustomerID,Name,Region,JoinDate,SpendingScore,TierLevel
1000,Robert Gomez,West,2/25/2024,78,Gold
1001,John Silva,East,12/1/2020,72,Silver
1002,Mark Marshall,Central,8/8/2020,42,Bronze
1003,David Brennan,North,5/21/2020,78,Gold
1004,Kerry Collins,North,9/12/2023,82,Gold
1005,Jessica Mora,South,8/5/2021,93,Diamond
1006,Hannah Ray,West,7/3/2021,84,Gold
1007,David Kim,West,5/20/2020,92,Diamond
1008,William Ramirez,EAST,9/15/2023,100,Diamond
1009,Zachary Bell Jr.,East,4/20/2023,63,Silver
1010,Mike Davis,East,3/23/2022,69,Silver
1011,Amanda Myers,West,9/5/2021,81,Gold
1012,Tara Miller,North,8/10/2020,42,Bronze
1013,Alyssa Morgan,North,7/22/2022,60,Silver
1014,Cindy Woods,East,4/2/2024,65,Silver
1015,Jennifer Rodgers,North,2/12/2023,96,Diamond
1016,Andrea Roberts,EAST,5/16/2021,69,Silver
1017,Brittney Burnett,North,7/3/2020,81,Gold
1018,Edwin Garrison,south-west,8/31/2020,88,Gold
1019,Michelle Torres,Central,11/18/2020,41,Bronze
1020,Michelle Brewer,East,7/14/2021,75,Gold
1021,Aaron Burnett,South,2/13/2024,61,Silver
1022,Austin Gutierrez,EAST,11/25/2021,92,Diamond
1023,Dustin Medina,east,6/14/2021,81,Gold
1024,Andres Avila,Central,9/19/2022,44,Bronze
1025,Garrett Lewis,South,8/4/2023,82,Gold
1026,Gary Walls,North,10/5/2023,65,Silver
1027,Anthony Schroeder,east,10/4/2020,69,Silver
1028,Haley Wagner,West,11/3/2023,56,Bronze
1029,Gina Powers,West,10/26/2022,45,Bronze
1030,Alice Robinson,EAST,8/6/2021,88,Gold
1031,Jessica Frazier,West,10/20/2021,74,Silver
1032,Terri Long,east,10/23/2022,40,Bronze
1033,Paul Perkins,east,3/16/2022,100,Diamond
1034,Heather Smith,Central,9/16/2022,80,Gold
1035,Lorraine Rodriguez,East,9/26/2022,44,Bronze
1036,Robert Bishop,south-west,9/14/2020,54,Bronze
1037,Lisa Sanders,West,6/3/2020,88,Gold
1038,Jason Ford,EAST,10/9/2023,82,Gold
1039,Brandy Good,West,5/21/2023,90,Diamond
1040,Angel Lee,Central,4/8/2022,94,Diamond
1041,David Beltran,east,1/18/2021,65,Silver
1042,Christopher Dodson,North,10/30/2023,71,Silver
1043,Eric Pena,West,6/30/2022,61,Silver
1044,Anita Huerta,East,4/8/2022,59,Bronze
1045,Dr. Susan Bailey,North,10/2/2020,76,Gold
1046,Tyler Colon,Central,3/3/2021,61,Silver
1047,Ashley Pearson,West,10/4/2020,59,Bronze
1048,Dr. Donald Proctor,North,3/17/2024,45,Bronze
1049,Rebecca Jordan,West,10/8/2022,68,Silver
1050,Jeffrey Mclaughlin,EAST,3/28/2022,67,Silver
1051,Amy Nguyen,Central,2/13/2024,55,Bronze
1052,Brandon Hinton,south-west,11/10/2022,57,Bronze
1053,Benjamin Cline,east,1/25/2022,49,Bronze
1054,Laura Mcdonald,South,12/3/2022,72,Silver
1055,William Benitez,east,11/4/2020,68,Silver
1056,Kristina Wilson,east,5/15/2023,95,Diamond
1057,Kathy Hall,North,10/27/2023,70,Silver
1058,Steven Jackson,Central,6/26/2020,64,Silver
1059,Steve Massey,West,8/6/2020,97,Diamond
1060,Mr. Christopher Thompson,South,4/10/2023,69,Silver
1061,Taylor Kaufman,North,7/23/2021,62,Silver
1062,Ashley Harmon,South,2/13/2024,83,Gold
1063,Howard Case,south-west,2/15/2021,83,Gold
1064,Joshua Cline,EAST,2/19/2024,67,Silver
1065,Daniel Adams,Central,7/2/2023,88,Gold
1066,Derrick Myers,North,4/6/2022,84,Gold
1067,Lawrence Pearson,east,4/29/2023,60,Silver
1068,Melissa Gutierrez,East,12/25/2023,95,Diamond
1069,Virginia Warren,North,8/24/2023,78,Gold
1070,Brittany Johnson,East,6/4/2021,99,Diamond
1071,Christopher Frost,east,8/21/2020,42,Bronze
1072,Shannon Schmitt,EAST,8/23/2022,68,Silver
1073,Matthew Clark,Central,8/21/2023,70,Silver
1074,Alyssa Evans,West,10/27/2021,62,Silver
1075,Joseph Chavez,North,1/1/2023,70,Silver
1076,Glenn Shelton,east,5/1/2024,61,Silver
1077,Amy Espinoza,North,5/29/2021,57,Bronze
